id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
20974,3900000000,0,38.0,79,764,26882,0,3,2
15892,20000000000,0,180.0,79,775,27358,4,5,5
16267,1850000000,0,63.0,1,17,454,0,2,2
12822,52000000000,0,200.0,79,778,27490,3,5,5
12824,52000000000,0,200.0,79,778,27490,4,5,5
22689,65000000000,0,160.0,79,770,27139,0,7,7
12830,2800000000,0,75.0,1,268,9886,0,3,2
12836,22000000000,0,111.0,79,778,27490,6,5,5
12837,22000000000,0,111.0,79,778,27490,4,5,5
11046,22500000000,0,111.0,79,778,27490,5,5,5
22495,52000000000,0,200.0,79,766,26971,0,4,4
19547,11900000000,0,350.0,79,778,27472,0,5,6
22507,50000000000,0,1000.0,79,760,26749,0,10,10
12868,48000000000,0,310.0,1,268,9886,0,5,3
12869,48000000000,0,310.0,1,268,9886,3,5,3
12888,22000000000,0,145.0,1,4,121,0,1,1
12906,48000000000,0,306.0,1,268,9886,3,6,4
21941,17000000000,0,240.0,79,765,26956,0,1,1
12905,48000000000,0,306.0,1,268,9886,0,6,4
22184,255000000000,0,328.0,79,760,26743,0,3,3
21942,3480000000,0,140.0,79,764,26884,0,3,2
12916,5500000000,0,65.0,1,4,145,0,6,5
12921,5500000000,0,65.0,1,4,145,4,6,5
12922,6600000000,0,52.0,1,6,235,4,4,4
12928,16500000000,0,68.0,1,5,169,5,4,5
12935,6600000000,0,-1.0,79,778,27490,0,3,2
12932,48000000000,0,310.0,1,268,9886,0,6,4
21944,12400000000,0,94.0,79,760,26761,0,3,3
12946,16900000000,0,85.0,1,4,121,5,5,5
12953,6500000000,0,49.0,1,6,199,2,2,2
21945,65000000000,0,180.0,79,760,26743,0,3,3
21946,72000000000,0,857.0,79,764,26898,0,3,2
12964,12000000000,0,85.0,1,4,145,4,5,5
20997,720000000000,0,600.0,79,760,26743,0,14,14
22195,6300000000,0,-1.0,79,764,26881,0,0,0
12990,11500000000,0,-1.0,1,6,217,0,6,5
12988,11500000000,0,-1.0,1,6,217,5,6,5
13007,16000000000,0,85.0,1,4,145,0,5,4
21001,80000000000,0,225.0,79,760,26743,0,6,6
12995,47500000000,0,310.0,1,268,9886,3,5,4
21005,88000000000,0,136.0,79,760,26752,0,2,2
13002,2450000000,0,-1.0,1,268,9886,0,3,2
13004,16000000000,0,85.0,1,4,145,5,5,4
13022,10800000000,0,45.0,1,6,220,4,4,4
13042,16000000000,0,95.0,1,4,145,0,6,4
13034,16000000000,0,95.0,1,4,145,5,6,4
13060,4000000000,0,52.0,1,4,121,4,4,4
13056,2550000000,0,56.0,1,5,166,0,2,1
13058,13600000000,0,55.0,1,6,217,6,15,5
13048,13600000000,0,55.0,1,6,217,0,15,5
13049,4000000000,0,52.0,1,4,121,0,4,4
13053,1450000000,0,28.0,79,778,27490,0,1,1
21016,6500000000,0,150.0,79,765,26950,0,2,2
13062,5450000000,0,90.0,1,6,199,1,2,1
13080,3450000000,0,90.0,1,2,67,0,3,3
13081,3390000000,0,65.0,1,1,28,0,2,1
13078,2430000000,0,60.0,1,6,232,0,2,1
21028,100000000000,0,280.0,79,760,26737,0,8,8
13084,10600000000,0,40.0,1,9,349,8,4,6
13085,14000000000,0,135.0,79,778,27490,0,3,2
13088,2430000000,0,-1.0,1,6,232,0,2,1
13093,2850000000,0,80.0,1,9,373,0,2,1
13100,3390000000,0,-1.0,1,1,28,0,2,1
13106,10600000000,0,40.0,1,9,349,0,4,6
13108,3590000000,0,-1.0,1,1,31,0,2,1
13116,3780000000,0,100.0,1,1,16,0,3,2
13124,12000000000,0,145.0,79,778,27490,0,3,2
13131,3550000000,0,80.0,1,7,277,0,3,2
16270,14000000000,0,72.0,79,778,27481,3,4,5
20545,8000000000,0,135.0,79,778,27490,0,3,2
13445,11000000000,0,182.0,79,784,27559,0,4,3
22693,6500000000,0,108.0,79,778,27490,0,3,2
25494,40000000000,0,190.0,79,760,26740,0,4,3
13676,4890000000,0,101.0,79,761,26776,0,3,2
13637,9990000000,0,83.0,1,268,9886,0,4,5
13728,12000000000,0,287.0,1,268,9886,0,4,4
13739,6390000000,0,80.0,79,761,26791,0,3,3
24030,32900000000,0,70.0,79,760,26737,0,10,11
22073,2300000000,0,78.0,79,785,27637,0,0,0
16049,7400000000,0,51.0,79,775,27385,3,4,5
21049,5490000000,0,72.0,79,761,26776,0,2,2
13928,21000000000,0,110.0,1,268,9886,0,10,11
13938,42000000000,0,126.0,79,778,27490,3,4,3
13943,42000000000,0,126.0,79,778,27490,3,4,3
22075,8100000000,0,80.0,79,767,27019,0,0,1
21057,2000000000,0,65.0,79,761,26791,0,2,2
13977,12000000000,0,114.0,79,766,27004,0,5,5
13973,37999000000,0,102.0,79,770,27139,6,24,24
14068,70000000000,0,210.0,79,778,27490,0,4,4
22007,7500000000,0,304.0,79,775,27349,0,1,1
21066,10400000000,0,90.0,79,765,26905,0,5,6
13996,42000000000,0,126.0,79,778,27490,0,4,3
21071,155000000000,0,240.0,79,770,27139,0,8,8
14114,139000000000,0,320.0,79,778,27490,0,4,4
24053,35000000000,0,163.0,79,760,26740,0,3,2
21076,3650000000,0,72.0,79,766,26983,0,4,4
21083,26000000000,0,111.0,79,778,27490,0,5,5
21095,8990000000,0,150.0,79,765,26914,0,2,2
14064,56000000000,0,300.0,79,778,27490,0,4,5
14061,130000000000,0,253.0,79,778,27490,2,0,2
21099,83000000000,0,656.0,79,765,26905,0,3,3
14077,145000000000,0,-1.0,79,778,27490,0,9,11
14079,145000000000,0,-1.0,79,778,27490,4,9,11
21102,7400000000,0,190.0,79,775,27385,0,4,5
14086,140000000000,0,-1.0,79,778,27490,3,9,10
14087,140000000000,0,-1.0,79,778,27490,0,9,10
21105,17500000000,0,144.0,79,765,26917,0,25,0
14098,9500000000,0,80.0,79,778,27490,0,1,1
21111,105000000000,0,300.0,79,770,27139,0,7,7
14216,168000000000,0,599.0,79,778,27490,10,100,100
14120,68000000000,0,200.0,79,778,27490,3,4,4
21116,32000000000,0,109.0,79,760,26737,0,3,3
